r1,r2,r3,val
0.3,0.7,0.0,0.8714083333333332
0.1,0.9,0.0,0.8425166666666669
0.2,0.7,0.1,0.8317708333333332
0.4,0.1,0.5,0.8463791666666668
0.9,0.0,0.1,0.8585749999999998
0.3,0.5,0.2,0.8409958333333335
0.0,0.7,0.3,0.8402791666666668
0.5,0.1,0.4,0.8648583333333334
0.5,0.3,0.2,0.8611916666666669
0.2,0.4,0.4,0.8565416666666668
0.1,0.3,0.6,0.7707833333333332
0.0,1.0,0.0,0.8610791666666668
0.7,0.0,0.3,0.8682708333333334
0.4,0.2,0.4,0.8527999999999999
0.0,0.6,0.4,0.8574541666666667
0.0,0.2,0.8,0.8278541666666666
0.3,0.0,0.7,0.8415124999999999
0.2,0.5,0.3,0.8391208333333333
0.6,0.0,0.4,0.8183541666666665
0.9,0.1,0.0,0.8479333333333333
0.4,0.3,0.3,0.8573624999999999
0.5,0.5,0.0,0.8449083333333333
0.6,0.1,0.3,0.8542208333333333
0.4,0.4,0.2,0.8211166666666667
0.1,0.8,0.1,0.8332499999999999
0.1,0.2,0.7,0.8027083333333334
0.1,0.7,0.2,0.8646041666666666
0.3,0.6,0.1,0.8862625000000001
1.0,0.0,0.0,0.8687041666666667
0.0,0.3,0.7,0.7665374999999996
0.6,0.3,0.1,0.8691791666666666
0.3,0.1,0.6,0.8250874999999999
0.1,0.0,0.9,0.8402625000000002
0.3,0.2,0.5,0.8394083333333335
0.5,0.2,0.3,0.8586124999999999
0.8,0.2,-0.0,0.8105958333333332
0.1,0.6,0.3,0.8476166666666667
0.0,0.5,0.5,0.8499708333333335
0.4,0.0,0.6,0.8137708333333334
0.3,0.3,0.4,0.8456541666666667
0.0,0.4,0.6,0.8071
0.7,0.1,0.2,0.8387208333333332
0.2,0.6,0.2,0.8821583333333334
0.5,0.4,0.1,0.8194041666666667
0.7,0.3,0.0,0.8553958333333335
0.3,0.4,0.3,0.8468791666666666
0.0,0.1,0.9,0.7590166666666668
0.8,0.1,0.1,0.8819833333333337
0.0,0.8,0.2,0.822225
0.1,0.1,0.8,0.7939416666666664
0.2,0.3,0.5,0.8191375000000001
0.1,0.4,0.5,0.8421833333333334
0.6,0.2,0.2,0.8894166666666665
0.0,0.9,0.1,0.8533541666666666
0.2,0.0,0.8,0.8437874999999999
0.8,0.0,0.2,0.8625249999999998
0.1,0.5,0.4,0.8564541666666665
0.7,0.2,0.1,0.8656833333333332
0.0,0.0,1.0,0.7900208333333335
0.2,0.1,0.7,0.8380499999999999
0.4,0.6,0.0,0.8537208333333336
0.2,0.2,0.6,0.8252166666666666
0.4,0.5,0.1,0.8394708333333333
0.2,0.8,0.0,0.8474458333333331
0.5,0.0,0.5,0.7663958333333332
0.6,0.4,0.0,0.856725
