r1,r2,r3,val
0.3,0.7,0.0,0.847320833333333
0.1,0.9,0.0,0.8790999999999999
0.2,0.7,0.1,0.8759916666666667
0.4,0.1,0.5,0.8541458333333334
0.9,0.0,0.1,0.8904833333333332
0.3,0.5,0.2,0.8848541666666665
0.0,0.7,0.3,0.8525458333333332
0.5,0.1,0.4,0.8662166666666667
0.5,0.3,0.2,0.8832875000000001
0.2,0.4,0.4,0.8718041666666668
0.1,0.3,0.6,0.8798166666666667
0.0,1.0,0.0,0.8720708333333334
0.7,0.0,0.3,0.8722625
0.4,0.2,0.4,0.8818750000000001
0.0,0.6,0.4,0.8377458333333337
0.0,0.2,0.8,0.8130916666666667
0.3,0.0,0.7,0.8695124999999998
0.2,0.5,0.3,0.8487208333333333
0.6,0.0,0.4,0.888
0.9,0.1,0.0,0.8838874999999998
0.4,0.3,0.3,0.8735666666666667
0.5,0.5,0.0,0.861875
0.6,0.1,0.3,0.8385666666666666
0.4,0.4,0.2,0.887825
0.1,0.8,0.1,0.8872291666666667
0.1,0.2,0.7,0.8087374999999999
0.1,0.7,0.2,0.8784458333333333
0.3,0.6,0.1,0.8846333333333333
1.0,0.0,0.0,0.8882958333333333
0.0,0.3,0.7,0.8383958333333332
0.6,0.3,0.1,0.8925083333333332
0.3,0.1,0.6,0.8736833333333333
0.1,0.0,0.9,0.8225375
0.3,0.2,0.5,0.8743083333333336
0.5,0.2,0.3,0.8802375000000001
0.8,0.2,-0.0,0.8904458333333333
0.1,0.6,0.3,0.8673500000000001
0.0,0.5,0.5,0.8393791666666667
0.4,0.0,0.6,0.8595833333333335
0.3,0.3,0.4,0.8783583333333332
0.0,0.4,0.6,0.829525
0.7,0.1,0.2,0.8929708333333334
0.2,0.6,0.2,0.847095833333333
0.5,0.4,0.1,0.8496083333333333
0.7,0.3,0.0,0.8835124999999998
0.3,0.4,0.3,0.8296000000000001
0.0,0.1,0.9,0.8556166666666667
0.8,0.1,0.1,0.83095
0.0,0.8,0.2,0.8514166666666666
0.1,0.1,0.8,0.8333291666666667
0.2,0.3,0.5,0.8800583333333335
0.1,0.4,0.5,0.8681916666666666
0.6,0.2,0.2,0.8657166666666667
0.0,0.9,0.1,0.8309458333333333
0.2,0.0,0.8,0.8487791666666665
0.8,0.0,0.2,0.8781458333333334
0.1,0.5,0.4,0.8954541666666668
0.7,0.2,0.1,0.8798583333333335
0.0,0.0,1.0,0.8820041666666666
0.2,0.1,0.7,0.8643708333333334
0.4,0.6,0.0,0.8054666666666668
0.2,0.2,0.6,0.8541541666666667
0.4,0.5,0.1,0.8590375
0.2,0.8,0.0,0.8497166666666663
0.5,0.0,0.5,0.8607625
0.6,0.4,0.0,0.8303333333333334
